title,href,filename,file_href
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,anes2004TS.tab,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/DKEWWR&version=1.0
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,anes_timeseries_2012.dta,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/13RIYJ&version=1.0
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,anes_timeseries_2012_userguidecodebook.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/TH4DH0&version=1.0
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,avalos_lee.log,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/YQLDFM&version=1.0
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,Boston_ACS2011_education.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/EI5QUX&version=1.0
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,Boston_ACS2011_homeownership.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/ISYE2R&version=1.0
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,Boston_ACS2011_income_poverty.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/ICOTVY&version=1.0
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,Boston_ACS2011_population.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/QPQIOM&version=1.0
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,cands_1.xlsx,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/FIHZFL&version=1.0
Replication Data for: Racial or Spatial Voting? The Effects of Candidate Ethnicity and Ethnic Group Endorsements  in Local Elections,/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,cands_1_codebook.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ/8JZNOJ&version=1.0
Replication Data for: Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,ac-net_igraph.RData,/file.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ/MZUWP7&version=1.0
Replication Data for: Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,codebook.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ/9QZDGZ&version=1.0
Replication Data for: Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,eigenCentralityAllclean.tab,/file.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ/DUUD4Z&version=1.0
Replication Data for: Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,fulldataALLH2018.tab,/file.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ/5SSD0F&version=1.0
Replication Data for: Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,README.txt,/file.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ/NTUE3Q&version=1.0
Replication Data for: Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,replicationMAIN.R,/file.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ/0KIYRK&version=1.0
Replication Data for: Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,replicationSA.R,/file.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ/RLFW2B&version=1.0
Replication Data for: Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,replication_get_evcent.R,/file.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ/6TY3RH&version=1.0
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,Codebook.pdf,/file.xhtml?persistentId=doi:10.7910/DVN/ZSJA25/EGE2HR&version=1.0
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,Explanation_Code_Statements.do,/file.xhtml?persistentId=doi:10.7910/DVN/ZSJA25/OPUYSX&version=1.0
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,Explanation_Code_Writeins.do,/file.xhtml?persistentId=doi:10.7910/DVN/ZSJA25/DLJEKM&version=1.0
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,Explanation_Data_Base.tab,/file.xhtml?persistentId=doi:10.7910/DVN/ZSJA25/3YZYDV&version=1.0
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,Master.do,/file.xhtml?persistentId=doi:10.7910/DVN/ZSJA25/W6KNXE&version=1.0
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,Readme.txt,/file.xhtml?persistentId=doi:10.7910/DVN/ZSJA25/NIHRLC&version=1.0
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,Risk_Code_Bootstrap.do,/file.xhtml?persistentId=doi:10.7910/DVN/ZSJA25/JLDNGL&version=1.0
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,Risk_Code_Bootstrap_Extract.do,/file.xhtml?persistentId=doi:10.7910/DVN/ZSJA25/MABR2E&version=1.0
Replication Data for: Priorities for Preventive Action: Explaining Americans' Divergent Reactions to 100 Public Risks,/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,Risk_Code_Bootstrap_Prep.do,/file.xhtml?persistentId=doi:10.7910/DVN/ZSJA25/JZK2CH&version=1.0
